UID	Format	Date
Open-Innovation-Summit-June-2019	pdf	2022-11-22 11:25:27
PLAIN-06122019-Transcript	pdf	2022-11-22 11:27:16
PLbasicsDGU81120-508-checked	pdf	2022-11-22 11:25:27
Persona-Template	pptx	2025-02-12 09:28:13
Slides-Design1-Bauer-NYC-Government	pdf	2022-11-22 11:25:27
Slides-Design2-Lenger-Color-UX	pdf	2022-11-22 11:28:18
Slides-Design3-Oskow-Design-Systems	pdf	2022-11-22 11:25:27
Slides-Management2-Faied-McHarg-Digital-Skills	pdf	2022-11-22 11:28:35
Slides-Management3-Richman-CDC-Digital-First	pdf	2022-11-22 11:28:43
Slides-Methods1-Byrd-Raising-Design-Voice	pdf	2022-11-22 11:28:52
Slides-Methods2-Adams-Accessible-Experience-First	pdf	2022-11-22 14:29:08
Slides-Methods3-Faiferlick-User-Documentation	pdf	2022-11-22 14:29:16
TheAverageAmericanClean_rev	pdf	2022-11-22 14:29:50
USWDS Monthly Call Feb 2024	pptx	2024-02-15 13:25:24
accessibility-tips-tricks-may-2021	pdf	2022-11-22 10:42:44
automating-a-mega-journey-ux-summit-22	pptx	2022-11-17 09:35:54
backlogs-and-why-every-website-needs-one-slides	pptx	2023-10-11 16:52:17
beyond-metrics-transcript	docx	2022-12-20 14:07:54
blackberry-app-world-tos-agreement	pdf	2025-02-12 09:28:14
building-an-inclusive-user-research-practice-ux-summit-22	pptx	2022-11-17 09:35:53
building-empathy-remotely	pptx	2022-11-17 09:35:56
business-case-for-innovation-ux-summit-22	pptx	2022-11-17 09:35:53
change-the-way-digital-work-gets-done	pptx	2022-11-17 09:35:53
conscious-uncoupling-uxsummit-revised	pptx	2022-11-17 09:35:53
conscious-uncoupling-uxsummit	pptx	2022-11-17 09:35:53
cultivating-a-dynamic-ux-career	pptx	2023-09-19 10:00:35
dap-ga4-migration-content-request	docx	2023-07-28 23:29:14
dap-tag-managers-part-2-march-2021	pdf	2022-11-22 10:54:52
dap-using-analytics-usa-gov-api	pdf	2022-11-22 10:54:53
dap-video-content-presentation-slides-video-1	pptx	2024-12-26 20:44:45
dap-video-content-presentation-slides-video-2	pptx	2024-12-26 20:44:46
dap-video-content-presentation-slides-video-3	pptx	2024-12-26 20:44:46
data-dictionary-multilingual-glossary-health-fall-2024	docx	2024-10-02 15:24:39
data-security-concept-plarguedoctor-istock-getty-images-1258622079	png	2023-07-19 17:08:48
designing-digital-products-for-adults-with-low-literacy-ux-summit-22	pptx	2022-11-17 09:35:53
designing-for-people-with-cognitive-disabilities-ux-summit-22	pptx	2022-11-17 09:35:56
designing-the-refugee-and-asylum-interview-experience-ux-summit-22	pptx	2022-11-17 09:35:53
drowning-in-data-how-to-use-customer-experience-data-ux-summit-22	pptx	2022-11-17 09:35:53
engaging-employees-cx	pptx	2022-11-17 09:35:53
ep1-challengegov	pdf	2022-11-22 11:25:44
ep2-challengegov	pdf	2022-11-22 11:25:50
equity-centered-design-julieben	pptx	2022-11-17 09:35:53
equity-centered-design-revised	pptx	2022-11-17 09:35:53
feb-2022-multilingual-event-lep	pptx	2022-11-17 09:35:53
federal-rpa-use-case-inventory-compliant	pdf	2022-11-22 11:25:52
federal-ux-survey-results-2014-external	pptm	2022-12-20 14:17:17
fedramp-analytics-part-two-final	pptx	2022-11-17 09:35:53
fedramp-dap-casestudy-one	pptx	2022-11-17 09:35:53
foundations-of-agile-part-2-slides	pdf	2023-09-21 20:41:36
getting-gao-message-across-final	pptx	2022-11-17 09:35:53
go-live-checklist-for-federal-websites-and-digital-services-nov2023	xlsx	2023-11-17 14:56:53
gsa-service-delivery-template-synthesis-user-types	docx	2023-12-08 23:46:54
hcd-design-concepts-hiring	pdf	2023-08-03 17:14:45
history-of-the-picture-format	pdf	2024-07-25 17:49:20
history-of-the.pdf	pdf	2024-07-25 11:47:54
how-do-you-teach-ux-part-1-ux-summit-22	pptx	2022-11-17 09:35:53
how-do-you-teach-ux-part-2-ux-summit-22	pptx	2022-11-17 09:35:56
how-to-redesign-a-legacy-application-ux-summit-22	pptx	2022-11-17 09:35:53
increase-your-impact-with-plain-language-slides	pptx	2022-11-17 09:35:54
iterating-on-a-state-level-colorado	pptx	2022-11-17 09:35:53
journey-mapping-access-to-justice	pptx	2022-11-17 09:35:53
list	csv	2022-11-22 11:26:04
marsh-personas	pdf	2025-02-12 09:20:45
multilingual-event-hispanic-heritage-month	pptx	2022-11-17 09:35:53
multilingual-glossary-tool-fall-2024	csv	2024-10-02 19:29:33
nrc-cxslides-first	pptx	2022-11-17 09:35:56
nrc-cxslides-second	pptx	2022-11-17 09:35:53
open-source-information-architecture-rev	pptx	2022-11-17 09:35:56
openopps-personas-final.pptx	pptx	2025-02-12 09:20:45
ostp-gsa-open-innovation-forum-building-equitable-partnerships	pptx	2022-11-17 09:35:53
ostp-gsa-open-innovation-forum	pptx	2022-11-17 09:35:53
overcoming-your-fear-of-data-presentation	pptx	2022-11-17 09:35:53
overcoming-your-fear-of-data-updated-presentation	pptx	2022-11-17 09:35:53
overturning-precedent-alexis-finalrev	pptx	2022-11-17 09:35:53
overturning-precedent-uxsummit-schilf	pptx	2022-11-17 09:35:53
persona-template	pptx	2025-02-12 09:20:42
pivot-on-a-deadline-final-rev	pptx	2022-11-17 09:35:53
pivot-on-a-deadline-final	pptx	2022-11-17 09:35:53
pl-summit-2020-abby-covert	pdf	2022-11-22 11:26:46
pl-summit-2020-bethany-blakey	pdf	2022-11-22 11:26:56
pl-summit-2020-ginny-redish	pdf	2022-11-22 11:27:02
pl-summit-2020-joseph-kimble	pdf	2022-11-22 11:27:04
pl-summit-2020-martha-dorris	pdf	2022-11-22 11:27:08
pl-summit-2020-nicole-fenton	pdf	2022-11-22 11:25:27
pl-summit-2020-scott-kubie	pdf	2022-11-22 11:27:14
pl-summit-volunteerism-joanne	pptx	2022-11-17 09:35:53
plain-accessibility-slides-march-2021	pdf	2022-11-22 11:27:16
plain-language-and-compassion-march-event-slides	pptx	2022-11-17 09:35:53
plain-language-summit-accessibility-environmental-justice-final	pptx	2022-11-17 09:35:53
plain-language-summit-accessibility-environmental-justice	pptx	2022-11-17 09:35:53
plain-language-summit-debunking-the-oversimplification-myth	pptx	2022-11-17 09:35:53
plain-language-summit-designing-digital-products-for-adults-with-low-literacy	pptx	2022-11-17 09:35:53
plain-language-summit-designing-for-people-with-cognitive-disabilities-and-everyone	pptx	2022-11-17 09:35:56
plain-language-summit-help-them-see-the-light-strategies-for-training-feds	pptx	2022-11-17 09:35:54
plain-language-summit-info-slide	pptx	2022-11-17 09:35:53
plain-language-summit-irs-final	pptx	2022-11-17 09:35:55
plain-language-summit-jargon-madness-a-plain-language-exercise	pptx	2022-11-17 09:35:55
plain-language-summit-keynote	pptx	2022-11-17 09:35:55
plain-language-summit-managing-stakeholder-feedback-lessons-from-experience	pptx	2022-11-17 09:35:56
plain-language-summit-nws-noaa-final	pptx	2022-11-22 11:27:33
plain-language-summit-online-glossaries	pptx	2022-11-17 09:35:55
plain-language-summit-plain-language-and-people-first-a-pioneering-union	pptx	2022-11-17 09:35:56
plain-language-summit-setting-up-context-for-technical-details	pptx	2022-11-17 09:35:55
plain-language-summit-you-are-the-user-recognizing-systemic-challenges	pptx	2022-11-17 09:35:55
prototyping-presentation-1-1	pptx	2024-07-11 16:18:28
prototyping-presentation-2-2	pptx	2024-07-11 16:32:55
prototyping-presentation-2-5	pptx	2024-07-11 16:58:27
prototyping-presentation-2-9	pptx	2024-07-11 17:16:15
redesign-old-legacy-application-ux-summit-22	pptx	2022-11-17 09:35:55
reframing-the-role-of-senior-leaders-in-design–ux-summit-22	pptx	2022-11-17 09:35:55
remote-empathy-revised	pptx	2022-11-17 09:35:56
results-of-the-fplrc	pptx	2022-11-17 09:35:55
round-1-GSA-Judging-Form	pdf	2022-11-22 11:27:52
round-2-GSA-Judging-Form	pdf	2022-11-22 11:27:52
rpa-playbook-ic-addendum-v1.0	pdf	2022-11-22 11:27:53
rpa-playbook	pdf	2022-11-22 11:27:55
rpa-use-case-inventory-august-2020	xlsx	2022-11-17 12:06:21
rpt-rapid-process-transformation-handbook-final-08-12-2021	pdf	2022-11-22 11:27:58
self-assessment-checklist-for-federal-websites-april-2024	xlsx	2024-04-29 13:44:11
session-3a-slides-060623-final	pptx	2023-06-08 14:10:53
sessions-unique-page-views	pdf	2022-11-22 11:27:59
socialgov-summer-2021-copyright-whitney	pptx	2022-11-17 09:35:55
socialgov-summer-2021-rules-of-conduct-david	pptx	2022-11-17 09:35:55
socialgov-summer-2021-uspto-becky	pptx	2022-11-17 09:35:55
socialgov-week-2020-session-1	pdf	2022-11-22 14:29:24
socialgov-week-2020-session-2	pdf	2022-11-22 14:29:26
socialgov-week-2020-session-3	pdf	2022-11-22 14:29:27
socialgov-week-2020-session-5	pdf	2022-11-22 14:29:29
socialgov-week-2020-session-7	pdf	2022-11-22 14:29:30
spreadshee-upload-test-1	xlsx	2024-07-23 14:45:40
state-of-federal-rpa-report-12-2021	pdf	2022-11-22 14:29:33
state-of-federal-rpa	pdf	2022-11-22 14:29:35
storytelling-for-storytellers-plain-event	pptx	2022-11-17 09:35:56
successful-strategies-telework-hybrid-work-environments	pptx	2022-11-17 09:35:55
test-powerpoint-upload-7-25-2024	pptx	2024-07-25 12:10:54
test-sheet-riley-v1	xlsx	2024-07-12 14:55:23
test-spreadsheet-upload-7-25-2024	xlsx	2024-07-25 12:21:01
test-upload-7-12-2024	pdf	2024-07-12 12:32:46
test-upload-7-12-2024	pptx	2024-07-12 12:36:37
test-upload-7-12-2024	xlsx	2024-07-12 12:40:09
test-uswds-monthly-call-june-2024	pptx	2024-07-28 15:24:10
test.document-upload-7-25-2024	pdf	2024-07-25 11:41:19
upload-test-sheets-v1	xlsx	2024-07-16 15:45:46
upload-test-sheets-v4	xlsx	2024-07-16 17:05:36
upload-test-sheets-v8	xlsx	2024-07-23 14:50:36
upload-test.doc-v5	docx	2024-07-23 13:08:42
usa.gov-monthly-search-reports-fy13	xls	2022-12-20 19:49:46
usability-testing-for-documents-apr-2021	pdf	2022-11-22 11:30:02
usagov-usability-test-reports	pptx	2022-11-17 09:35:55
using-advanced-analysis-tool	pdf	2022-11-22 11:30:19
uswds-monthly-call-april-2022	pptx	2022-11-17 09:35:55
uswds-monthly-call-april-2023	pptx	2023-04-20 11:07:32
uswds-monthly-call-april-2024	pptx	2024-04-18 10:42:17
uswds-monthly-call-august-2022	pptx	2022-11-17 09:35:55
uswds-monthly-call-august-2023	pptx	2023-08-17 13:26:58
uswds-monthly-call-august-2024	pptx	2024-08-15 10:08:01
uswds-monthly-call-december-2022	pptx	2022-12-15 13:52:11
uswds-monthly-call-december-2024	pptx	2024-12-18 17:06:01
uswds-monthly-call-feb-2024	pptx	2024-02-15 14:18:37
uswds-monthly-call-february-2023	pptx	2023-02-16 12:47:41
uswds-monthly-call-january-2023	pptx	2023-01-27 10:44:54
uswds-monthly-call-january-2024	pptx	2024-01-18 10:58:13
uswds-monthly-call-january-2025	pptx	2025-01-15 20:20:03
uswds-monthly-call-june-2022	pptx	2022-11-17 09:35:55
uswds-monthly-call-june-2023	pptx	2023-06-15 11:27:50
uswds-monthly-call-june-2024	pptx	2024-06-20 08:33:56
uswds-monthly-call-march-2022	pptx	2022-11-17 09:35:55
uswds-monthly-call-march-2023	pptx	2023-03-16 09:42:54
